Code,Name,Year,Sector,Emissions_kt,Population_000s,PerCapita_Emissions_t
E09000001,City of London,2005,Domestic,20.346116718335793,7.131,228.76525334644245
E09000001,City of London,2005,Grand total,1631.325021613481,7.131,228.76525334644245
E09000001,City of London,2005,Industry and Commercial,1545.660538336756,7.131,228.76525334644245
E09000001,City of London,2005,Transport,65.31836655838949,7.131,228.76525334644245
E09000001,City of London,2006,Domestic,20.397840864472208,7.254,243.3383773456457
E09000001,City of London,2006,Grand total,1765.1765892653139,7.254,243.3383773456457
E09000001,City of London,2006,Industry and Commercial,1679.655915845074,7.254,243.3383773456457
E09000001,City of London,2006,Transport,65.12283255576735,7.254,243.3383773456457
E09000001,City of London,2007,Domestic,20.534499770633456,7.607,218.91475790982383
E09000001,City of London,2007,Grand total,1665.28456342003,7.607,218.91475790982383
E09000001,City of London,2007,Industry and Commercial,1580.3829915054775,7.607,218.91475790982383
E09000001,City of London,2007,Transport,64.36707214391897,7.607,218.91475790982383
E09000001,City of London,2008,Domestic,21.406316080023842,7.429,226.62406850180645
E09000001,City of London,2008,Grand total,1683.59020489992,7.429,226.62406850180645
E09000001,City of London,2008,Industry and Commercial,1603.9232935425557,7.429,226.62406850180645
E09000001,City of London,2008,Transport,58.26059527734024,7.429,226.62406850180645
E09000001,City of London,2009,Domestic,19.61710738864381,7.472,197.57490791517517
E09000001,City of London,2009,Grand total,1476.279711942189,7.472,197.57490791517517
E09000001,City of London,2009,Industry and Commercial,1402.0189573268594,7.472,197.57490791517517
E09000001,City of London,2009,Transport,54.64364722668589,7.472,197.57490791517517
E09000001,City of London,2010,Domestic,21.101829075902785,7.338,222.17306046653232
E09000001,City of London,2010,Grand total,1630.3059177034143,7.338,222.17306046653232
E09000001,City of London,2010,Industry and Commercial,1554.715167690169,7.338,222.17306046653232
E09000001,City of London,2010,Transport,54.488920937342634,7.338,222.17306046653232
E09000001,City of London,2011,Domestic,18.80926055110783,7.412,187.3384435985091
E09000001,City of London,2011,Grand total,1388.5525439521493,7.412,187.3384435985091
E09000001,City of London,2011,Industry and Commercial,1317.139796345735,7.412,187.3384435985091
E09000001,City of London,2011,Transport,52.60348705530634,7.412,187.3384435985091
E09000001,City of London,2012,Domestic,20.529220758142174,7.604,201.57666373092144
E09000001,City of London,2012,Grand total,1532.7889510099267,7.604,201.57666373092144
