# 문제1: 모델 비교 (홀드아웃 vs CV)
모델,홀드아웃,CV 평균,CV 표준편차,차이(홀드아웃-CV평균)
Dummy,0.8450932684509327,0.8452554744525548,0.0001986609685955626,-0.00016220600162208942
트리(기본),0.8422546634225466,0.8536901865369018,0.0016895917806974828,-0.01143552311435514
트리(max_depth=5),0.8941605839416058,0.8913219789132197,0.004047031613909026,0.0028386050283860653
RandomForest,0.894566098945661,0.8927818329278183,0.004923960822923134,0.0017842660178426506
XGBoost,0.8921330089213301,0.8896999188969991,0.004103523322197408,0.0024330900243310083

# 문제4-1: 트리 max_depth 손잡이
max_depth,CV 평균,CV 표준편차
2,0.886699107866991,0.007700942397709148
3,0.8879156528791565,0.003041092175061275
5,0.8913219789132197,0.004047031613909026
8,0.8874290348742904,0.0025595675325319487
12,0.8772911597729116,0.0023025254771416918
제한 없음,0.8536901865369018,0.0016895917806974828

# 문제4-2: RandomForest min_samples_leaf 손잡이
min_samples_leaf,CV 평균,학습 점수,격차(학습-테스트)
1,0.8927818329278183,0.9997972424979724,0.10523114355231145
5,0.8957015409570154,0.9516423357664233,0.05748175182481752
20,0.8972424979724248,0.9176804541768045,0.02514193025141931
50,0.8978913219789131,0.9055150040551501,0.012976480129764822
