조건,F1,AP,결정
수치형만 (기준),0.6120125223549298,0.7170831743262862,기준선
수치형+범주형 (문제1),0.5446833119152725,0.7162030634774592,채택 - 범주형 추가로 AP 상승
가설A: has_page_value,0.6139228915094682,0.7183086644333831,기각 - 개선폭 노이즈 수준(Δ+0.0019)
가설B: total_pages,0.6077326267793501,0.7157335484038061,기각 - 오히려 하락(Δ-0.0043)
타깃인코딩 (누수 버전),0.6571557837230066,0.7543182587787324,"기각 - 전체데이터로 계산해 검증 정답 유출, 점수 부풀려짐"
타깃인코딩 (교차적합),0.6192929234763314,0.718213557182829,기각 - 진짜 개선폭 미미(ΔAP+0.0011)
GridSearchCV 최적 (문제4),0.6378125907577962,0.7374509050360163,"채택(잠정) - 내부 CV 최고점, 최종 성능 아님"
